"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
24552,158,"NLD","Netherlands",7,"Limburg",187,"Thorn"," "," ","Gemeente","Municipality"
24553,158,"NLD","Netherlands",7,"Limburg",188,"Vaals"," "," ","Gemeente","Municipality"
24554,158,"NLD","Netherlands",7,"Limburg",189,"Valkenburg aan de Geul"," "," ","Gemeente","Municipality"
24555,158,"NLD","Netherlands",7,"Limburg",190,"Venlo"," "," ","Gemeente","Municipality"
24556,158,"NLD","Netherlands",7,"Limburg",191,"Venray"," "," ","Gemeente","Municipality"
24557,158,"NLD","Netherlands",7,"Limburg",192,"Voerendaal"," "," ","Gemeente","Municipality"
24558,158,"NLD","Netherlands",7,"Limburg",193,"Weert"," "," ","Gemeente","Municipality"
24559,158,"NLD","Netherlands",8,"Noord-Brabant",194,"'s-Hertogenbosch"," "," ","Gemeente","Municipality"
24560,158,"NLD","Netherlands",8,"Noord-Brabant",195,"Aalburg"," "," ","Gemeente","Municipality"
24561,158,"NLD","Netherlands",8,"Noord-Brabant",196,"Alphen-Chaam"," "," ","Gemeente","Municipality"
24562,158,"NLD","Netherlands",8,"Noord-Brabant",197,"Asten"," "," ","Gemeente","Municipality"
24563,158,"NLD","Netherlands",8,"Noord-Brabant",198,"Baarle-Nassau"," "," ","Gemeente","Municipality"
24564,158,"NLD","Netherlands",8,"Noord-Brabant",199,"Bergeijk"," ","Bergeyk","Gemeente","Municipality"
24565,158,"NLD","Netherlands",8,"Noord-Brabant",200,"Bergen op Zoom"," "," ","Gemeente","Municipality"
24566,158,"NLD","Netherlands",8,"Noord-Brabant",201,"Bernheze"," "," ","Gemeente","Municipality"
24567,158,"NLD","Netherlands",8,"Noord-Brabant",202,"Best"," "," ","Gemeente","Municipality"
24568,158,"NLD","Netherlands",8,"Noord-Brabant",203,"Bladel"," "," ","Gemeente","Municipality"
24569,158,"NLD","Netherlands",8,"Noord-Brabant",204,"Boekel"," "," ","Gemeente","Municipality"
